Orthogroup	pathogen_class_type	logFC
OG0033756	bacterium	2.39147463728174
OG0033795	bacterium	2.14884902900021
OG0034058	bacterium	3.21658764058517
OG0034060	bacterium	4.62310374527351
OG0034154	bacterium	2.59598436957709
OG0034518	bacterium	2.56465190955069
OG0034954	bacterium	1.87188314342315
OG0035468	bacterium	2.95813735346016
OG0035481	bacterium	1.33044208906021
OG0036130	bacterium	2.73270085671162
OG0036133	bacterium	2.00792867797781
OG0036153	bacterium	2.72130038603184
OG0036183	bacterium	1.43396692566429
OG0036209	bacterium	1.40952926697222
OG0036222	bacterium	4.07594641490436
OG0036298	bacterium	1.04676786061509
OG0036410	bacterium	1.21364224597882
OG0036423	bacterium	1.79175355760203
OG0037138	bacterium	1.83716603047921
OG0037589	bacterium	7.29663171902572
OG0037611	bacterium	1.26849969885467
OG0037616	bacterium	2.59635134495371
OG0037621	bacterium	2.34355113522477
OG0037646	bacterium	3.20520251945281
OG0037668	bacterium	8.95962756405476
OG0037683	bacterium	1.20815794206878
OG0037828	bacterium	1.76941111505758
OG0037899	bacterium	1.12982570800284
OG0037944	bacterium	1.44581362481302
OG0038799	bacterium	2.70719775943288
OG0038892	bacterium	1.19511898932223
OG0041637	bacterium	1.47020231561894
OG0041651	bacterium	1.98451677765455
OG0042345	bacterium	3.77588274750428
OG0042606	bacterium	2.50587458240238
OG0042781	bacterium	2.2458221691688
OG0042917	bacterium	3.17260705828025
OG0043568	bacterium	6.22732677098542
OG0047264	bacterium	1.15076192002912
OG0047794	bacterium	1.14452161991944
OG0049059	bacterium	1.17974248842159
OG0050127	bacterium	6.14319794325428
OG0050336	bacterium	5.03519465309346
OG0050460	bacterium	1.39559114363194
OG0050663	bacterium	2.90174815977941
OG0050765	bacterium	2.93968261935677
OG0052262	bacterium	5.77732712662342
OG0052328	bacterium	1.05580193166453
OG0052464	bacterium	5.58956241126286
OG0052750	bacterium	2.76356667539604
OG0052865	bacterium	4.53613234657556
OG0052978	bacterium	1.00520398316221
OG0053021	bacterium	6.01376653372428
OG0053033	bacterium	7.66351307970313
OG0059314	bacterium	7.84945630996696
OG0066297	bacterium	1.31252117643976
OG0067536	bacterium	1.05159989587515
OG0068339	bacterium	1.34932866094175
OG0068479	bacterium	1.74388865095271
OG0070260	bacterium	1.18908233361585
OG0072888	bacterium	4.2813151383947
OG0091551	bacterium	1.00418959876344
