gene_id	logFC	species	host	treat
Ghir_D02G019290	-3.2232463559660296	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D01G002080	3.20163267008315	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G007640	-3.19727312715652	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G003190	3.1884247503381	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G000070	-3.1737664326050004	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G008240	-3.16837080354273	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G010850	3.16284987555586	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G003210	-3.14999055528137	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G016150	-3.1464716427476502	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G000300	-3.13128463667902	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G004740	3.1247146327293303	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G000250	3.11492063987803	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G035570	-3.11171318006769	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G008200	3.10701976432562	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G019690	-3.10124228881185	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G028650	3.09040581474159	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G001810	-3.09019873638266	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G023760	3.0862236294781202	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G021520	-3.08313522705456	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G001010	-3.0608716509615	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G009410	-3.05916082589942	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G002270	-3.0498020412120597	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G022860	-3.0492550717250895	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D01G000240	-3.0432786584117504	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G001440	3.04256102211797	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G004390	-3.0390165910810603	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G015830	3.02410057842821	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G012070	2.998884941063	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G026230	2.98699647199085	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G000410	-2.96869426024969	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G003140	2.94898557661281	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G007030	2.9183480567238904	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G003970	-2.89928588121821	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A04G008330	2.89620943189969	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G024170	-2.8904145020773195	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G016870	2.88741146559679	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G007040	2.8801311345117098	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G021080	-2.8754162471566005	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G024620	-2.8618580459966703	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G017280	-2.86020385978701	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G034930	2.85855709092115	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G021670	2.85477575743156	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G002800	-2.8528579726178505	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G019990	-2.8520751168069602	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D06G000310	-2.85006006445225	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G016280	-2.84372688762631	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G000850	-2.84112758551913	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G013900	-2.83930025623317	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G022670	2.82824507489273	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G022800	2.822227772553	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G003140	2.8187594400801896	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G003350	2.8181154725707103	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G000470	-2.8144728147497795	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G024640	2.8097744684195503	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D06G023530	-2.8072831399105094	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G022630	2.80554663630833	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G015970	-2.79826653506	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
